name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Cooperative Protocols,tahlan_cooperative_protocols_yuki,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CooperativeProtocolsYuki,"The Yukikaze and Korikaze hulls were specifically developed to be fielded in tandem. The Yukikaze features a powerful array of control devices and transmitters which allows it to provide detailed combat information for any nearby Korikaze-class vessels.

If any allied Korikaze-class ship is within %s SU, this ship counts its ECM rating as %s higher, has %s improved autofire accuracy, and gains %s additional top speed and acceleration.

If at least %s Korikaze-class ships are within this range, all bonuses are increased by %s.",Bonus when grouped with Korikazes,,graphics/tahlan/hullmods/cooperative_protocols.png
Cooperative Protocols,tahlan_cooperative_protocols_kori,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CooperativeProtocolsKori,"The Korikaze and Yukikaze hulls were specifically developed to be fielded in tandem. The Korikaze has fine-tuned transceivers allowing it to accurately exchange information and combat data with a nearby Yukikaze-class vessel.

If an allied Yukikaze-class ship is within %s SU, this ship ignores %s of enemy ECM, counts its ECM rating as %s higher, and gains %s additional range for all weapons.",Bonus when grouped with a Yukikaze,,graphics/tahlan/hullmods/cooperative_protocols.png
Kassadari Engineering,tahlan_knightrefit,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.KnightRefit,"A rare ship constructed by the Great Houses.

Equipped with a highly advanced %s of unknown design, permanently accelerating the ship's timeflow by %s. Armor is reduced by %s based on hull size to make room for the exposed components of the system and monthly supply cost is increased by %s. Furthermore the delicate machinery causes CR to decrease at doubled rate after peak performance time has passed.

In emergency situations the Temporal Circuit will enter overdrive mode. Activating automatically if hull integrity falls below %s, the time acceleration is boosted to %s.

Due to high power needs, all these effects are %s and the delicate nature of the circuit grid can lead to a significant risk of malfunctions should the ship's safeties be removed via overrides. Additionally they are %s.",Modernized Refit,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Advanced Ballistic Interface,tahlan_advballistics,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.AdvBallistics,Enhanced mounts reduce the ordnance point cost of ballistic weapons by %s.,Reduces ordnance point cost of all ballistic weapons.,,graphics/hullmods/ballistics_integration.png
Broadside Mounts,tahlan_broadsidemounts,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.BroadsideMounts,"The weapon mounts on this ship have been hardened to better withstand the stresses of broadside engagements.

Weapon mount health is increased by %s and repairs are sped up by %s. Reduces OP cost of large mount weaponry by %s.",Hardens weapon mounts,,graphics/hullmods/armored_weapon_emplacements.png
Forced Overdrive,tahlan_forcedoverdrive,,0.5,,"shields, offensive",,10000,,,,4,8,14,20,org.niatahl.tahlan.hullmods.ForcedOverdrive,"An unusual modification for Kassadari hulls and refits, redirecting power from the shields to the Temporal Conduit Grid, allowing for a %s. To at least partially counteract the loss of shields, the saved weight of a missing shield generator is used to instead mount additional armor plating %s.

(Can only be applied to Kassadari ships)",Sacrifices shields for permanent overdrive activation.,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Temporal Travel Drive,tahlan_temporaltraveldrive,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.TemporalTravelDrive,"As the Temporal Circuit Grid installed on Kassadari vessels requires a massive powerspike to be powered up at the start of battle, the system is linked to the ship's travel drives. Diverting energy from the drives upon entering combat, the grid is booted up in a supercharged state, catapulting the ship into battle under massively accelerated temporal flow.",Accelerates time while entering the battlefield.,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Cramped Hangar Bays,tahlan_crampedhangars,,,,fighters,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CrampedHangars,"Fitting an overly large number of fighter bays has come at the cost of particularly cramped decks, making it harder to quickly service and rearm fighters in combat. As a consequence fighter refit times are increased by %s.",Increased fighter refit times.,,graphics/tahlan/hullmods/tahlan_cramped_hangar.png
Lifeless Systems,tahlan_noname,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.NoName,"This unknown ship design is equipped with a %s of unknown design, resembling those found on Kassadari vessels, accelerating its timeflow by %s. At its core, it harbors an advanced drone nanoforge, capable of rapidly constructing drones in combat %s.

The high complexity of this technology increases monthly maintenance cost by %s.",Time acceleration and enhanced drone nanoforge.,,graphics/hullmods/targeting_supercomputer.png
Aftermarket Phase Coils,tahlan_aftermarketphasecoils,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.AftermarketPhasecoils,"This ship is equipped with a set of salvaged phase coils and able to project a low-intensity phase field at all times, negating its sensor profile entirely.

As the ship wasn't designed for phase coils however, strong interference with its targeting systems severely limits the range of its weapons past %s and maintenance costs are %s.",Reduces sensor profile and limits range.,,graphics/hullmods/phase_field.png
