id,type,text1,text2,text3,notes
,,,,,
# Ships,,,,,
,,,,,
tahlan_Yukikaze,SHIP,"Built by Tahlan Shipworks in cooperation with Sylphon, the Yukikaze is a technology showcase first and foremost. A high-performance assault cruiser equipped with a set of prototype weapons it packs an incredible punch for its size, but the prototype technologies used in its constructions make maintenance a nightmare.",,,
tahlan_Korikaze,SHIP,"Designed as a support craft for the Yukikaze, these small drone frigates can be linked with the Yukikaze’s neural network to improve the performance of all linked vessels in combat and allow for complex attack maneuvers that require precise cooperation.",,,
tahlan_Firemane,SHIP,"A modification of the Colossus born from a demand for a cheap platform for heavy weaponry. As the energy demand of these weapons surpasses the flux grid of the Colossus, the shield generator was removed and replaced with additional armour plating. While the Firemane’s combat performance is questionable, it is undeniably a cheaper heavy weapons platform than a Dominator.",,,
tahlan_Yokai,SHIP,"Rebuilt from the salvaged wreckage of an Onslaught-class battleship, the Yokai was jury-rigged with Sylphon Nulltech by a former patrol commander gone rogue. Cannibalizing his old flagship, an Okarra-class cruiser, he and his crew upgraded the Onslaught with a nullspace conduit and armor polarizer and replaced most weapon mounts to support the modular weaponry of the Okarra. The result is as fearsome as one would expect and it would be safe to say that the sector can be glad it is one of a kind.",,,
tahlan_Castigator,SHIP,"Presumably a precursor design to the modern Eagle, the Castigator was, for its time, an overengineered assault cruiser that never made it into large-scale production due to numerous issues. Not only was it overpriced, but the downscaled TPCs in its forward prongs suffered from reliability issues with their magnetic containment systems. These issues aside, however, the performance of the Castigator is without question impressive. Combining heavy armor, numerous weapon mounts and adequate maneuverability in a heavy cruiser package designed to fight at the frontlines of any battle. Charging into combat with its visually spectacular Assault Burn, the Castigator is an awe-inspiring sight to behold and an enemy most would prefer to avoid facing head-on.",,,
tahlan_Bento,SHIP,"Lovingly called ""Lunchbox"" by many a captain for feeding their hungry ship drives, the Bento-class combat tanker is a sturdy little craft that can hold its own in battle. Often found in smaller flotillas that can't spare escorts for their logistics vessels or trade fleets that wish to be better defended against pirate attacks on long-haul routes, the Bento is a solid alternative to the ever-present Dram. While it obviously has to sacrifice fuel capacity, it is often a viable option to simply bring a second Bento.",,,
tahlan_Vale,SHIP,"""With holy furor he searches the land for any who would defy the will of his god, bringing carnage and death upon them. He is the holy warrior, guided by his unshakable faith.""",,,
